Date,Weight
2024-07-25,116.96
2024-07-26,96.4
2024-07-27,60.55
2024-07-28,76.06
2024-07-29,57.41
2024-07-30,93.81
2024-07-31,101.54
2024-08-01,67.5
2024-08-02,106.54
2024-08-03,67.44
2024-08-04,55.94
2024-08-05,98.02
2024-08-06,122.3
2024-08-07,90.7
2024-08-08,91.42
2024-08-09,80.53
2024-08-10,48.26
2024-08-11,73.28
2024-08-12,73.8
2024-08-13,87.46
2024-08-14,78.97
2024-08-15,93.07
2024-08-16,90.65
2024-08-17,75.35
2024-08-18,51.97
2024-08-19,80.9
2024-08-20,70.04
2024-08-21,77.84
2024-08-22,89.95
2024-08-23,95.43
2024-08-24,44.88
2024-08-25,71.61
2024-08-26,103.81
2024-08-27,89.48
2024-08-28,111.25
2024-08-29,71.31
2024-08-30,64.07
2024-08-31,31.12
2024-09-01,80.12
2024-09-02,92.05
2024-09-03,81.25
2024-09-04,86.13
2024-09-05,64.91
2024-09-06,118.33
2024-09-07,59.0
2024-09-08,58.61
2024-09-09,92.15
2024-09-10,88.36
2024-09-11,84.39
2024-09-12,69.07
2024-09-13,87.9
2024-09-14,84.74
2024-09-15,76.63
2024-09-16,104.46
2024-09-17,72.81
2024-09-18,65.56
2024-09-19,78.45
2024-09-20,81.12
2024-09-21,72.57
2024-09-22,30.74
2024-09-23,103.08
2024-09-24,77.73
2024-09-25,73.66
2024-09-26,64.86
2024-09-27,55.2
2024-09-28,68.35
2024-09-29,57.1
2024-09-30,60.65
2024-10-01,60.58
2024-10-02,74.98
2024-10-03,105.07
2024-10-04,76.16
2024-10-05,33.51
2024-10-06,52.39
2024-10-07,76.06
2024-10-08,39.75
2024-10-09,79.44
2024-10-10,76.85
2024-10-11,90.82
2024-10-12,84.04
2024-10-13,73.26
2024-10-14,76.57
2024-10-15,64.09
2024-10-16,119.38
2024-10-17,81.76
2024-10-18,81.19
2024-10-19,56.4
2024-10-20,59.81
2024-10-21,79.16
2024-10-22,72.84
2024-10-23,73.38
2024-10-24,81.23
2024-10-25,73.71
2024-10-26,46.71
2024-10-27,59.11
2024-10-28,78.49
2024-10-29,105.04
2024-10-30,42.89
2024-10-31,99.2
2024-11-01,101.69
2024-11-02,27.13
2024-11-03,53.22
2024-11-04,78.0
2024-11-05,62.66
2024-11-06,72.31
2024-11-07,67.52
2024-11-08,110.68
2024-11-09,73.26
2024-11-10,78.46
2024-11-11,95.89
2024-11-12,68.36
2024-11-13,77.66
2024-11-14,93.11
2024-11-15,67.68
2024-11-16,71.08
2024-11-17,56.95
2024-11-18,81.14
2024-11-19,97.69
2024-11-20,93.96
2024-11-21,82.14
2024-11-22,105.22
2024-11-23,45.46
2024-11-24,71.11
2024-11-25,97.56
2024-11-26,84.31
2024-11-27,94.13
2024-11-28,70.76
2024-11-29,103.69
2024-11-30,60.31
2024-12-01,55.46
2024-12-02,106.46
2024-12-03,80.47
2024-12-04,70.22
2024-12-05,68.31
2024-12-06,101.06
2024-12-07,45.39
2024-12-08,91.15
2024-12-09,61.7
2024-12-10,118.7
2024-12-11,96.74
2024-12-12,92.45
2024-12-13,86.06
2024-12-14,72.18
2024-12-15,65.86
2024-12-16,111.78
2024-12-17,97.27
2024-12-18,98.15
2024-12-19,90.78
2024-12-20,95.72
2024-12-21,72.46
2024-12-22,42.43
2024-12-23,77.37
2024-12-24,109.09
2024-12-25,100.84
2024-12-26,95.86
2024-12-27,99.24
2024-12-28,74.73
2024-12-29,61.66
2024-12-30,88.33
